locality,bhk,area_sqft,price_lakhs
Ambernath,2,855,45
Ambernath,2,915,37
Ambernath,1,575,26
Ambernath,2,890,37
Ambernath,1,680,26
Ambernath,1,680,26
Ambernath,1,680,28
Ambernath,1,730,36
Ambernath,1,741,26
Ambernath,1,568,26
Ambernath,2,838,39
Ambernath,2,855,45
Ambernath,2,846,34
Ambernath,2,1085,41
Ambernath,1,640,24
Ambernath,1,605,27
Ambernath,2,1030,40
Ambernath,1,550,29
Ambernath,2,920,36
Ambernath,1,675,23
Ambernath,2,648,30
Ambernath,2,938,53
Ambernath,1,665,26
Ambernath,2,825,33
Ambernath,1,598,23
Ambernath,1,675,23
Ambernath,2,1100,54
Ambernath,1,670,28
Ambernath,2,840,40
Ambernath,2,850,33
Ambernath,2,810,29
Ambernath,1,811,34
Ambernath,2,752,35
Ambernath,1,525,26
Ambernath,2,1000,40
Ambernath,2,969,39
Ambernath,2,791,34
Ambernath,3,1385,64
Ambernath,2,795,37
Ambernath,2,778,37
Ambernath,2,872,42
Ambernath,2,1050,45
Ambernath,1,685,23
Ambernath,2,610,29
Ambernath,2,1030,44
Ambernath,2,765,42
Ambernath,1,618,32
Ambernath,2,796,38
Ambernath,2,765,42
Ambernath,1,618,32
Ambernath,2,796,38
Ambernath,2,1025,45
Ambernath,1,451,26
Ambernath,2,1030,55
Ambernath,3,1200,55
Ambernath,1,638,25
Ambernath,2,947,42
Ambernath,1,560,22
Ambernath,1,650,23
Ambernath,1,670,25
Ambernath,1,630,23
Ambernath,1,745,25
Ambernath,3,1890,95
Ambernath,1,580,25
Ambernath,2,850,37
Ambernath,1,692,26
Ambernath,1,692,26
Ambernath,2,990,42
Ambernath,1,695,27
Ambernath,2,1061,40
Ambernath,2,996,42
Ambernath,3,1200,55
Ambernath,1,687,25
Ambernath,1,685,26
Ambernath,1,600,28
Ambernath,2,860,42
Ambernath,1,650,28
Ambernath,2,1030,54
Ambernath,2,1030,42
Ambernath,3,821,44
Ambernath,2,662,36
Ambernath,1,438,24
Ambernath,3,821,44
Ambernath,2,662,36
Ambernath,1,438,24
Ambernath,1,670,25
Ambernath,1,705,26
Ambernath,1,650,24
Ambernath,2,1100,41
Ambernath,2,1035,39
Ambernath,2,1300,75
Ambernath,2,860,45
Ambernath,2,860,45
Ambernath,1,720,30
Ambernath,1,668,26
Ambernath,1,670,24
Ambernath,1,620,22
Ambernath,1,560,20
Ambernath,1,540,22
Ambernath,1,625,26
Ambernath,1,605,28
Ambernath,1,640,26
Ambernath,1,650,30
Ambernath,1,560,24
Ambernath,1,780,27
Ambernath,1,660,24
Ambernath,1,690,26
Ambernath,1,560,22
Ambernath,1,690,26
Ambernath,1,650,26
Ambernath,1,550,22
Ambernath,1,625,24
Ambernath,1,690,24
Ambernath,2,951,37
Ambernath,1,625,24
Ambernath,2,838,34
Ambernath,1,560,21
Ambernath,2,810,32
Ambernath,1,657,24
Ambernath,2,879,33
Ambernath,2,951,36
Ambernath,2,900,38
Ambernath,1,685,24
Ambernath,1,660,24
Ambernath,1,625,27
Ambernath,1,675,28
Ambernath,1,660,26
Ambernath,2,860,34
Ambernath,1,660,28
Ambernath,1,655,27
Ambernath,3,1353,56
Ambernath,1,655,26
Ambernath,1,610,24
Ambernath,1,946,37
Ambernath,1,720,30
Ambernath,1,610,26
Ambernath,1,660,28
Ambernath,1,675,28
Ambernath,1,700,27
Ambernath,1,712,28
Ambernath,1,575,22
Ambernath,1,480,21
Ambernath,1,461,24
Ambernath,1,450,16
Ambernath,1,651,26
Ambernath,1,560,22
Ambernath,1,675,26
